"quarter","observations","type.of.building","region","value"
"2009K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",196
"2009K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",484
"2009K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",312
"2009K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",355
"2010K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",225
"2010K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",990
"2010K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",432
"2010K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",407
"2011K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",910
"2011K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",583
"2011K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",664
"2011K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",361
"2012K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",682
"2012K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",518
"2012K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",156
"2012K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",760
"2013K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",816
"2013K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1422
"2013K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",466
"2013K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1066
"2014K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1293
"2014K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2031
"2014K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1400
"2014K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1124
"2015K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1654
"2015K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2530
"2015K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1262
"2015K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2012
"2016K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1243
"2016K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2945
"2016K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",792
"2016K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1846
"2017K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2258
"2017K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2971
"2017K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1533
"2017K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1506
"2018K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1346
"2018K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",3348
"2018K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1649
"2018K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2860
"2019K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2264
"2019K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1265
"2019K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2179
"2019K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1049
"2020K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2042
"2020K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2224
"2020K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1567
"2020K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2597
"2021K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1317
"2021K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1052
"2021K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1124
"2021K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2591
"2022K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",977
"2022K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1654
"2022K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",824
"2022K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",725
"2023K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",452
"2023K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1185
"2023K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1188
"2023K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1883
"2024K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",2041
"2024K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1316
"2024K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",444
"2024K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",932
"2025K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1003
"1996K1","Number","buildings for seasonal and secondary use","Sweden",299
"1996K2","Number","buildings for seasonal and secondary use","Sweden",709
"1996K3","Number","buildings for seasonal and secondary use","Sweden",393
"1996K4","Number","buildings for seasonal and secondary use","Sweden",377
"1997K1","Number","buildings for seasonal and secondary use","Sweden",338
"1997K2","Number","buildings for seasonal and secondary use","Sweden",690
"1997K3","Number","buildings for seasonal and secondary use","Sweden",352
"1997K4","Number","buildings for seasonal and secondary use","Sweden",339
"1998K1","Number","buildings for seasonal and secondary use","Sweden",315
"1998K2","Number","buildings for seasonal and secondary use","Sweden",597
"1998K3","Number","buildings for seasonal and secondary use","Sweden",384
"1998K4","Number","buildings for seasonal and secondary use","Sweden",283
"1999K1","Number","buildings for seasonal and secondary use","Sweden",322
"1999K2","Number","buildings for seasonal and secondary use","Sweden",725
"1999K3","Number","buildings for seasonal and secondary use","Sweden",345
"1999K4","Number","buildings for seasonal and secondary use","Sweden",373
"2000K1","Number","buildings for seasonal and secondary use","Sweden",384
"2000K2","Number","buildings for seasonal and secondary use","Sweden",680
"2000K3","Number","buildings for seasonal and secondary use","Sweden",382
"2000K4","Number","buildings for seasonal and secondary use","Sweden",391
"2001K1","Number","buildings for seasonal and secondary use","Sweden",436
"2001K2","Number","buildings for seasonal and secondary use","Sweden",621
"2001K3","Number","buildings for seasonal and secondary use","Sweden",388
"2001K4","Number","buildings for seasonal and secondary use","Sweden",349
"2002K1","Number","buildings for seasonal and secondary use","Sweden",334
"2002K2","Number","buildings for seasonal and secondary use","Sweden",625
"2002K3","Number","buildings for seasonal and secondary use","Sweden",413
"2002K4","Number","buildings for seasonal and secondary use","Sweden",332
"2003K1","Number","buildings for seasonal and secondary use","Sweden",373
"2003K2","Number","buildings for seasonal and secondary use","Sweden",686
"2003K3","Number","buildings for seasonal and secondary use","Sweden",424
"2003K4","Number","buildings for seasonal and secondary use","Sweden",430
"2004K1","Number","buildings for seasonal and secondary use","Sweden",438
"2004K2","Number","buildings for seasonal and secondary use","Sweden",715
"2004K3","Number","buildings for seasonal and secondary use","Sweden",434
"2004K4","Number","buildings for seasonal and secondary use","Sweden",399
"2005K1","Number","buildings for seasonal and secondary use","Sweden",385
"2005K2","Number","buildings for seasonal and secondary use","Sweden",804
"2005K3","Number","buildings for seasonal and secondary use","Sweden",501
"2005K4","Number","buildings for seasonal and secondary use","Sweden",485
"2006K1","Number","buildings for seasonal and secondary use","Sweden",466
"2006K2","Number","buildings for seasonal and secondary use","Sweden",952
"2006K3","Number","buildings for seasonal and secondary use","Sweden",513
"2006K4","Number","buildings for seasonal and secondary use","Sweden",556
"2007K1","Number","buildings for seasonal and secondary use","Sweden",624
"2007K2","Number","buildings for seasonal and secondary use","Sweden",910
"2007K3","Number","buildings for seasonal and secondary use","Sweden",574
"2007K4","Number","buildings for seasonal and secondary use","Sweden",532
