"Period","Indikator","value"
"2022M09","Övrig trävaruindustri (SNI 16.2)",94.7
"2022M10","Övrig trävaruindustri (SNI 16.2)",93.6
"2022M11","Övrig trävaruindustri (SNI 16.2)",94.1
"2022M12","Övrig trävaruindustri (SNI 16.2)",88.8
"2023M01","Övrig trävaruindustri (SNI 16.2)",87.8
"2023M02","Övrig trävaruindustri (SNI 16.2)",78.2
"2023M03","Övrig trävaruindustri (SNI 16.2)",81.9
"2023M04","Övrig trävaruindustri (SNI 16.2)",87.9
"2023M05","Övrig trävaruindustri (SNI 16.2)",82.8
"2023M06","Övrig trävaruindustri (SNI 16.2)",83.6
"2023M07","Övrig trävaruindustri (SNI 16.2)",83.9
"2023M08","Övrig trävaruindustri (SNI 16.2)",80.4
"2023M09","Övrig trävaruindustri (SNI 16.2)",84.5
"2023M10","Övrig trävaruindustri (SNI 16.2)",87.3
"2023M11","Övrig trävaruindustri (SNI 16.2)",82.1
"2023M12","Övrig trävaruindustri (SNI 16.2)",81
"2024M01","Övrig trävaruindustri (SNI 16.2)",83.1
"2024M02","Övrig trävaruindustri (SNI 16.2)",87
"2024M03","Övrig trävaruindustri (SNI 16.2)",88.9
"2024M04","Övrig trävaruindustri (SNI 16.2)",86.1
"2024M05","Övrig trävaruindustri (SNI 16.2)",90.5
"2024M06","Övrig trävaruindustri (SNI 16.2)",90.8
"2024M07","Övrig trävaruindustri (SNI 16.2)",85.2
"2024M08","Övrig trävaruindustri (SNI 16.2)",91.8
"2024M09","Övrig trävaruindustri (SNI 16.2)",92.4
"2024M10","Övrig trävaruindustri (SNI 16.2)",88.6
"2024M11","Övrig trävaruindustri (SNI 16.2)",92.7
"2024M12","Övrig trävaruindustri (SNI 16.2)",92.8
"2025M01","Övrig trävaruindustri (SNI 16.2)",92.6
"2025M02","Övrig trävaruindustri (SNI 16.2)",94.9
"2025M03","Övrig trävaruindustri (SNI 16.2)",94.9
"1996M01","Massa- & pappersindustri (SNI 17)",NA
"1996M02","Massa- & pappersindustri (SNI 17)",NA
"1996M03","Massa- & pappersindustri (SNI 17)",NA
"1996M04","Massa- & pappersindustri (SNI 17)",NA
"1996M05","Massa- & pappersindustri (SNI 17)",NA
"1996M06","Massa- & pappersindustri (SNI 17)",NA
"1996M07","Massa- & pappersindustri (SNI 17)",NA
"1996M08","Massa- & pappersindustri (SNI 17)",NA
"1996M09","Massa- & pappersindustri (SNI 17)",NA
"1996M10","Massa- & pappersindustri (SNI 17)",NA
"1996M11","Massa- & pappersindustri (SNI 17)",NA
"1996M12","Massa- & pappersindustri (SNI 17)",NA
"1997M01","Massa- & pappersindustri (SNI 17)",NA
"1997M02","Massa- & pappersindustri (SNI 17)",NA
"1997M03","Massa- & pappersindustri (SNI 17)",NA
"1997M04","Massa- & pappersindustri (SNI 17)",NA
"1997M05","Massa- & pappersindustri (SNI 17)",NA
